filename,shiftG_dx,shiftG_dy,shiftR_dx,shiftR_dy,seconds
00029u,40,13,92,32,8.05
00087u,48,38,107,55,7.41
00106v,4,1,9,-1,0.17
00128u,35,24,51,38,7.19
00458u,42,6,87,32,7.35
00737u,15,7,49,15,7.24
00757v,2,3,-66,66,0.15
00822u,57,25,126,33,7.31
00888v,6,0,12,0,0.16
00889v,2,2,4,3,0.15
00892u,16,2,42,4,7.16
00907v,2,-1,6,-1,0.16
00911v,1,-1,12,-1,0.15
01031v,1,1,4,2,0.15
01043u,-17,10,10,17,7.08
01047u,24,20,72,33,7.15
01657v,5,1,11,1,0.15
01880v,6,2,14,4,0.15
church,24,-12,58,-6,7.04
emir,49,24,104,55,6.75
harvesters,60,16,124,14,6.68
icon,40,17,89,23,6.85
